0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
67   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /opt/solr-4.10.4/example/contexts at interval 0
75   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /opt/solr-4.10.4/example/contexts/solr-jetty-context.xml
1419 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1494 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1511 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1511 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /opt/solr-4.10.4/example/solr
1512 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/opt/solr-4.10.4/example/solr/'
1515 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/jackson-mapper-asl-1.9.13.jar' to classloader
1515 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-clustering-4.10.1.jar' to classloader
1515 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-uima-4.10.1.jar' to classloader
1516 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-analysis-extras-4.10.1.jar' to classloader
1516 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-test-framework-4.10.1.jar' to classloader
1516 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/lucene-analyzers-morfologik-4.10.1.jar' to classloader
1516 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/lucene-analyzers-smartcn-4.10.1.jar' to classloader
1520 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/mahout-collections-1.0.jar' to classloader
1526 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-morphlines-cell-4.10.1.jar' to classloader
1527 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/morfologik-fsa-1.7.1.jar' to classloader
1527 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-morphlines-core-4.10.1.jar' to classloader
1527 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-velocity-4.10.1.jar' to classloader
1527 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/carrot2-mini-3.9.0.jar' to classloader
1528 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/attributes-binder-1.2.1.jar' to classloader
1528 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/ezsystems-ezfind-solr-extension-solr-4.10.1.jar' to classloader
1528 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/morfologik-polish-1.7.1.jar' to classloader
1528 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-dataimporthandler-4.10.1.jar' to classloader
1528 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-cell-4.10.1.jar' to classloader
1529 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-dataimporthandler-extras-4.10.1.jar' to classloader
1529 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-map-reduce-4.10.1.jar' to classloader
1529 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/icu4j-53.1.jar' to classloader
1529 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/mahout-math-0.6.jar' to classloader
1529 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-core-4.10.1.jar' to classloader
1529 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-langid-4.10.1.jar' to classloader
1530 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/solr-solrj-4.10.1.jar' to classloader
1530 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/jsonic-1.2.7.jar' to classloader
1530 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/hppc-0.5.2.jar' to classloader
1530 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/lucene-analyzers-icu-4.10.1.jar' to classloader
1530 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/lucene-analyzers-stempel-4.10.1.jar' to classloader
1531 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/simple-xml-2.7.jar' to classloader
1531 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/morfologik-stemming-1.7.1.jar' to classloader
1531 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/langdetect-1.1-20120112.jar' to classloader
1531 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/opt/solr-4.10.4/example/solr/lib/jackson-core-asl-1.9.13.jar' to classloader
1815 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /opt/solr-4.10.4/example/solr/solr.xml
2001 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 899543194
2003 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/opt/solr-4.10.4/example/solr/]
2013 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2014 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2014 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2014 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2015 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2015 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2016 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2016 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2016 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
2016 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting useRetries to: false
2403 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
2405 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
2406 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
2407 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: null
2472 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/opt/solr-4.10.4/example/solr/ezp-default/'
